Classifier initialized!

Categories returned: 965

INDEX: 964 | DISPLAY: None | CATEGORY: __background__ | SCORE: 0.5703125
INDEX: 495 | DISPLAY: Passer italiae | CATEGORY: /m/0bwm6m | SCORE: 0.00390625
INDEX: 317 | DISPLAY: Chordeiles acutipennis | CATEGORY: /m/0h60r2 | SCORE: 0.00390625
INDEX: 671 | DISPLAY: Passer domesticus | CATEGORY: /m/01bwb9 | SCORE: 0.00390625
INDEX: 347 | DISPLAY: Bubo virginianus | CATEGORY: /m/01_3kg | SCORE: 0.00390625
INDEX: 743 | DISPLAY: Hemiphaga novaeseelandiae | CATEGORY: /m/039f9j | SCORE: 0.00390625
INDEX: 830 | DISPLAY: Bucephala albeola | CATEGORY: /m/01n6p7 | SCORE: 0.00390625
INDEX: 770 | DISPLAY: Chaetura pelagica | CATEGORY: /m/01z23_ | SCORE: 0.00390625
INDEX: 572 | DISPLAY: Nyctanassa violacea | CATEGORY: /m/01n_58 | SCORE: 0.00390625
INDEX: 72 | DISPLAY: Meleagris gallopavo | CATEGORY: /m/01rd7k | SCORE: 0.00390625
INDEX: 575 | DISPLAY: Butorides virescens | CATEGORY: /m/01n_1n | SCORE: 0.00390625
INDEX: 326 | DISPLAY: Nyctibius jamaicensis | CATEGORY: /m/03c5vxm | SCORE: 0.00390625
INDEX: 568 | DISPLAY: Ardea herodias | CATEGORY: /m/01c5w8 | SCORE: 0.00390625
INDEX: 352 | DISPLAY: Hirundo rustica | CATEGORY: /m/0hhtq | SCORE: 0.00390625
INDEX: 524 | DISPLAY: Cathartes aura | CATEGORY: /m/01blmn | SCORE: 0.00390625
INDEX: 291 | DISPLAY: Megaceryle alcyon | CATEGORY: /m/01bqq_ | SCORE: 0.00390625
INDEX: 608 | DISPLAY: Buteo jamaicensis | CATEGORY: /m/01_xsj | SCORE: 0.00390625
INDEX: 604 | DISPLAY: Ardea alba | CATEGORY: /m/01jl55 | SCORE: 0.00390625
INDEX: 849 | DISPLAY: Branta canadensis | CATEGORY: /m/01g0mh | SCORE: 0.00390625
INDEX: 507 | DISPLAY: Strix varia | CATEGORY: /m/01_3m9 | SCORE: 0.00390625
INDEX: 630 | DISPLAY: Haliaeetus leucocephalus | CATEGORY: /m/01dx8 | SCORE: 0.00390625
INDEX: 278 | DISPLAY: Megaceryle torquata | CATEGORY: /m/0268mmd | SCORE: 0.00390625
INDEX: 819 | DISPLAY: Anas platyrhynchos | CATEGORY: /m/01hjj1 | SCORE: 0.00390625
INDEX: 469 | DISPLAY: Sterna forsteri | CATEGORY: /m/022ljp | SCORE: 0.00390625
INDEX: 949 | DISPLAY: Tyto alba | CATEGORY: /m/01kf0_ | SCORE: 0.00390625
INDEX: 542 | DISPLAY: Himantopus mexicanus | CATEGORY: /m/029kyn | SCORE: 0.0
INDEX: 526 | DISPLAY: Cathartes burrovianus | CATEGORY: /m/02w5jdw | SCORE: 0.0
INDEX: 270 | DISPLAY: Oriturus superciliosus | CATEGORY: /m/02w7jrp | SCORE: 0.0
INDEX: 142 | DISPLAY: Cyrtonyx montezumae | CATEGORY: /m/0flgcg | SCORE: 0.0
INDEX: 558 | DISPLAY: Charadrius hiaticula | CATEGORY: /m/01pjs0 | SCORE: 0.0
INDEX: 286 | DISPLAY: Ceryle rudis | CATEGORY: /m/01l0m3 | SCORE: 0.0
INDEX: 574 | DISPLAY: Bubulcus ibis | CATEGORY: /m/01vb62 | SCORE: 0.0
INDEX: 590 | DISPLAY: Anous stolidus | CATEGORY: /m/0f9rjn | SCORE: 0.0
INDEX: 302 | DISPLAY: Streptopelia decaocto | CATEGORY: /m/01vxyj | SCORE: 0.0
INDEX: 606 | DISPLAY: Alectoris rufa | CATEGORY: /m/01xwkp | SCORE: 0.0
INDEX: 622 | DISPLAY: Sternula antillarum | CATEGORY: /m/0bd5fk | SCORE: 0.0
INDEX: 78 | DISPLAY: Sialia currucoides | CATEGORY: /m/01z9r_ | SCORE: 0.0
INDEX: 158 | DISPLAY: Coccothraustes coccothraustes | CATEGORY: /m/01_xbx | SCORE: 0.0
INDEX: 318 | DISPLAY: Platalea leucorodia | CATEGORY: /m/01t9c5 | SCORE: 0.0
INDEX: 638 | DISPLAY: Milvus milvus | CATEGORY: /m/01cjy9 | SCORE: 0.0
INDEX: 654 | DISPLAY: Bucorvus leadbeateri | CATEGORY: /m/01yf_l | SCORE: 0.0
INDEX: 334 | DISPLAY: Hymenolaimus malacorhynchos | CATEGORY: /m/03wnbr | SCORE: 0.0
INDEX: 670 | DISPLAY: Passer montanus | CATEGORY: /m/01bwbt | SCORE: 0.0
INDEX: 686 | DISPLAY: Ixoreus naevius | CATEGORY: /m/0259z1 | SCORE: 0.0
INDEX: 174 | DISPLAY: Larus dominicanus | CATEGORY: /m/03920_ | SCORE: 0.0
INDEX: 350 | DISPLAY: Setophaga coronata auduboni | CATEGORY: /m/025j0r | SCORE: 0.0
INDEX: 702 | DISPLAY: Setophaga tigrina | CATEGORY: /m/025pyb | SCORE: 0.0
INDEX: 718 | DISPLAY: Setophaga chrysoparia | CATEGORY: /m/05tdh8 | SCORE: 0.0
INDEX: 366 | DISPLAY: Sula leucogaster | CATEGORY: /m/04027m | SCORE: 0.0
INDEX: 734 | DISPLAY: Larus dominicanus dominicanus | CATEGORY: 333759 | SCORE: 0.0
INDEX: 750 | DISPLAY: Calypte anna | CATEGORY: /m/02dl45 | SCORE: 0.0
INDEX: 46 | DISPLAY: Fulica americana | CATEGORY: /m/01swzs | SCORE: 0.0
INDEX: 94 | DISPLAY: Bucephala islandica | CATEGORY: /m/01n5vg | SCORE: 0.0
INDEX: 190 | DISPLAY: Branta hutchinsii | CATEGORY: /m/04lt53 | SCORE: 0.0
INDEX: 382 | DISPLAY: Malurus cyaneus | CATEGORY: /m/02cd8w | SCORE: 0.0
INDEX: 766 | DISPLAY: Myiarchus crinitus | CATEGORY: /m/026gtz | SCORE: 0.0
INDEX: 782 | DISPLAY: Seiurus aurocapilla | CATEGORY: /m/028vhz | SCORE: 0.0
INDEX: 518 | DISPLAY: Milvago chimachima | CATEGORY: /m/061h9t | SCORE: 0.0
INDEX: 262 | DISPLAY: Tyrannus melancholicus | CATEGORY: /m/054khg | SCORE: 0.0
INDEX: 534 | DISPLAY: Charadrius vociferus | CATEGORY: /m/01pby5 | SCORE: 0.0
INDEX: 134 | DISPLAY: Calidris pusilla | CATEGORY: /m/01pj7p | SCORE: 0.0
INDEX: 550 | DISPLAY: Luscinia svecica | CATEGORY: /m/0k897 | SCORE: 0.0
INDEX: 557 | DISPLAY: Melanerpes aurifrons | CATEGORY: /m/05mr_d | SCORE: 0.0
INDEX: 566 | DISPLAY: Ardea cocoi | CATEGORY: /m/02w4pqs | SCORE: 0.0
INDEX: 70 | DISPLAY: Podilymbus podiceps | CATEGORY: /m/01f709 | SCORE: 0.0
INDEX: 582 | DISPLAY: Aquila chrysaetos | CATEGORY: /m/0m41v | SCORE: 0.0
INDEX: 294 | DISPLAY: Cinnyris jugularis | CATEGORY: /m/02k5g3 | SCORE: 0.0
INDEX: 598 | DISPLAY: Circus aeruginosus | CATEGORY: /m/02p1684 | SCORE: 0.0
INDEX: 150 | DISPLAY: Dryocopus pileatus | CATEGORY: /m/01zbqj | SCORE: 0.0
